MJD,ABmag,emag,band
56197.98,15.31,0.11,H
56197.98,15.08,0.1,J
56197.98,15.33,0.16,KS
56198.04,14.31,0.05,B
56198.04,13.690000000000001,0.04,U
56198.04,14.049999999999999,0.04,UVM2
56198.04,14.17,0.04,UVW1
56198.04,14.200000000000001,0.04,UVW2
56198.04,14.6,0.06,V
56198.06,14.639999999999999,0.07,I
56198.06,14.41,0.06,V
56198.3,14.23,0.03,B
56198.3,14.569999999999999,0.03,I
56198.3,14.3,0.04,R
56198.3,14.34,0.02,V
56198.43,14.66,0.07,I
56198.43,14.350000000000001,0.05,R
56198.4736,14.015,0.04,UVW1
56198.4743,13.683,0.04,U
56198.4747,14.165000000000001,0.042,B
56198.4762,14.158,0.04,UVW2
56198.4772,14.302,0.049,V
56198.4793,13.967999999999998,0.04,UVM2
56198.59,14.14,0.04,UVW1
56198.59,14.120000000000001,0.04,UVW2
56198.92,14.11,0.02,B
56198.92,14.559999999999999,0.02,I
56198.92,14.32,0.01,R
56198.92,13.989999999999998,0.03,U
56198.92,14.299999999999999,0.02,V
56198.97,15.17,0.13,H
56198.97,14.97,0.11,J
56198.97,15.23,0.17,KS
56199.15,14.19,0.02,B
56199.15,14.53,0.02,I
56199.15,14.3,0.02,R
56199.15,14.219999999999999,0.01,V
56199.2,14.41,0.07,I
56199.2,14.25,0.06,V
56199.46,14.08,0.04,UVW1
56199.58,14.260000000000002,0.02,R
56199.6477,13.921,0.04,UVW1
56199.6495,13.570999999999998,0.04,U
56199.65,14.02,0.04,B
56199.65,13.600000000000001,0.04,U
56199.65,14.07,0.05,UVM2
56199.65,13.959999999999999,0.04,UVW1
56199.65,14.01,0.04,UVW2
56199.65,14.24,0.04,V
56199.6505,14.005999999999998,0.040999999999999995,B
56199.6532,14.051,0.04,UVW2
56199.6559,14.177999999999999,0.05,V
56199.6566,13.825,0.043,UVM2
56199.93,14.0,0.02,B
56199.93,14.43,0.02,I
56199.93,14.190000000000001,0.01,R
56199.93,13.82,0.03,U
56199.93,14.17,0.02,V
56200.07,14.44,0.06,I
56200.07,14.18,0.07,V
56200.24,13.54,0.04,U
56200.473,13.506,0.04,U
56200.491,13.988,0.04,UVW2
56200.51,13.940000000000001,0.04,UVW2
56200.61,14.290000000000001,0.02,R
56200.69,14.43,0.03,I
56200.69,14.120000000000001,0.04,R
56200.9834,13.821,0.04,UVW1
56200.9845,13.439,0.04,U
56200.9851,13.838,0.040999999999999995,B
56200.9867,13.937000000000001,0.04,UVW2
56200.9884,14.069,0.051,V
56200.99,13.85,0.04,B
56200.99,13.46,0.04,U
56200.99,13.76,0.04,UVM2
56200.99,13.86,0.04,UVW1
56200.99,13.91,0.04,UVW2
56200.99,14.139999999999999,0.04,V
56200.9905,13.754999999999999,0.04,UVM2
56201.03,13.93,0.04,B
56201.03,14.399999999999999,0.01,I
56201.03,14.120000000000001,0.02,R
56201.03,14.049999999999999,0.02,V
56201.05,13.92,0.04,UVW2
56201.06,14.36,0.04,I
56201.06,14.04,0.05,V
56201.43,13.93,0.04,UVW2
56201.4312,13.972000000000001,0.04,UVW2
56201.44,14.389999999999999,0.03,I
56201.44,14.06,0.03,R
56201.54,14.120000000000001,0.02,R
56201.94,13.88,0.02,B
56201.94,14.33,0.02,I
56201.94,14.07,0.01,R
56201.94,13.77,0.03,U
56201.94,14.049999999999999,0.02,V
56201.96,15.120000000000001,0.14,H
56201.96,14.88,0.11,J
56201.96,15.139999999999999,0.18,KS
56201.9834,13.825,0.04,UVW1
56201.9845,13.411999999999999,0.04,U
56201.9851,13.888,0.040999999999999995,B
56201.9867,13.927000000000001,0.04,UVW2
56201.9883,13.995,0.05,V
56201.99,13.9,0.04,B
56201.99,13.440000000000001,0.04,U
56201.99,13.79,0.04,UVM2
56201.99,13.87,0.04,UVW1
56201.99,13.89,0.04,UVW2
56201.99,14.059999999999999,0.04,V
56201.9905,13.780999999999999,0.04,UVM2
56202.05,14.26,0.08,I
56202.05,14.01,0.07,V
56202.2529,13.822999999999999,0.04,UVW1
56202.254,13.429000000000002,0.04,U
56202.2547,13.852,0.040999999999999995,B
56202.2564,13.947000000000001,0.04,UVW2
56202.2582,14.037,0.05,V
56202.26,13.86,0.04,B
56202.26,13.440000000000001,0.04,U
56202.26,13.799999999999999,0.04,UVM2
56202.26,13.87,0.04,UVW1
56202.26,13.91,0.04,UVW2
56202.26,13.98,0.05,V
56202.26,14.1,0.04,V
56202.2605,13.799000000000001,0.04,UVM2
56203.05,14.33,0.08,I
56203.05,13.98,0.06,V
56203.0584,13.818,0.04,UVW1
56203.0594,13.415,0.04,U
56203.06,13.858,0.040999999999999995,B
56203.06,13.870000000000001,0.04,B
56203.06,13.440000000000001,0.05,U
56203.06,13.799999999999999,0.04,UVM2
56203.06,13.87,0.05,UVW1
56203.06,13.93,0.04,UVW2
56203.06,14.11,0.04,V
56203.0615,13.965,0.04,UVW2
56203.0631,14.024000000000001,0.05,V
56203.0654,13.796,0.04,UVM2
56203.22,13.879999999999999,0.03,V
56203.29,13.96,0.04,UVW2
56203.3944,13.985999999999999,0.04,UVW2
56204.02,13.86,0.05,B
56204.02,14.239999999999998,0.05,I
56204.02,13.99,0.03,R
56204.02,13.77,0.02,V
56204.05,13.77,0.04,B
56204.05,14.25,0.07,I
56204.05,13.420000000000002,0.05,U
56204.05,13.729999999999999,0.04,UVM2
56204.05,13.81,0.05,UVW1
56204.05,13.870000000000001,0.04,UVW2
56204.05,13.92,0.05,V
56204.05,13.94,0.04,V
56204.052,13.732000000000001,0.04,UVW1
56204.053,13.395,0.04,U
56204.0535,13.754000000000001,0.040999999999999995,B
56204.055,13.891,0.04,UVW2
56204.0565,13.859,0.048,V
56204.0586,13.719000000000001,0.04,UVM2
56204.39,13.83,0.04,UVW2
56204.4975,13.864,0.04,UVW2
56204.51,13.71,0.12,B
56204.5146,13.697000000000001,0.045,B
56204.61,13.950000000000001,0.01,R
56205.05,14.17,0.07,I
56205.05,13.83,0.05,V
56205.11,13.75,0.05,V
56205.4,13.83,0.04,UVW2
56205.5167,13.655,0.044000000000000004,B
56205.52,13.68,0.1,B
56205.5315,13.864,0.04,UVW2
56205.59,13.91,0.01,R
56206.04,14.129999999999999,0.05,I
56206.04,13.82,0.05,V
56206.12,13.66,0.05,B
56206.12,13.309999999999999,0.05,U
56206.12,13.709999999999999,0.04,UVM2
56206.12,13.75,0.04,UVW1
56206.12,13.83,0.04,UVW2
56206.12,13.879999999999999,0.04,V
56206.1222,13.687999999999999,0.04,UVW1
56206.1234,13.286999999999999,0.04,U
56206.124,13.648,0.040999999999999995,B
56206.1258,13.870000000000001,0.04,UVW2
56206.1275,13.802999999999999,0.047,V
56206.1296,13.700999999999999,0.04,UVM2
56206.2,13.860000000000001,0.04,UVW2
56206.21,13.73,0.03,V
56206.3327,13.919,0.04,UVW2
56206.59,13.91,0.01,R
56206.9,13.71,0.02,B
56206.9,14.11,0.02,I
56206.9,13.860000000000001,0.02,R
56206.9,13.61,0.04,U
56206.9,13.84,0.02,V
56207.43,14.0,0.04,UVW2
56207.4381,14.042000000000002,0.04,UVW2
56207.91,14.12,0.02,I
56207.91,13.860000000000001,0.01,R
56207.91,13.85,0.02,V
56208.04,14.139999999999999,0.07,I
56208.04,13.85,0.05,V
56208.4402,14.18,0.04,UVW2
56208.6668,13.931,0.04,UVW1
56208.6683,13.392,0.04,U
56208.6691,13.734000000000002,0.040999999999999995,B
56208.67,13.75,0.05,B
56208.67,13.41,0.05,U
56208.67,13.95,0.04,UVM2
56208.67,13.99,0.05,UVW1
56208.67,14.15,0.04,UVW2
56208.67,13.889999999999999,0.04,V
56208.6714,14.18,0.04,UVW2
56208.6737,13.815,0.046,V
56208.677,13.945,0.04,UVM2
56208.92,14.129999999999999,0.02,I
56208.92,13.940000000000001,0.01,R
56208.92,13.9,0.02,V
56209.04,13.78,0.02,B
56209.04,14.129999999999999,0.01,I
56209.04,13.96,0.01,R
56209.04,13.79,0.04,U
56209.04,13.92,0.01,V
56209.1,14.139999999999999,0.07,I
56209.1,13.96,0.04,R
56209.1,13.9,0.03,V
56209.2,14.08,0.09,I
56209.2,13.879999999999999,0.05,V
56209.57,13.950000000000001,0.01,R
56209.93,13.82,0.02,B
56209.93,14.149999999999999,0.02,I
56209.93,13.940000000000001,0.01,R
56209.93,13.780000000000001,0.03,U
56209.93,13.94,0.01,V
56210.03,14.16,0.07,I
56210.03,13.889999999999999,0.06,V
56210.0597,14.047,0.04,UVW1
56210.06,13.83,0.05,B
56210.06,13.59,0.05,U
56210.06,14.129999999999999,0.04,UVM2
56210.06,14.1,0.05,UVW1
56210.06,14.34,0.05,UVW2
56210.06,13.9,0.04,V
56210.0608,13.572,0.04,U
56210.0613,13.809000000000001,0.040999999999999995,B
56210.0629,14.377,0.04,UVW2
56210.0645,13.824,0.048,V
56210.0668,14.127999999999998,0.040999999999999995,UVM2
56210.15,13.86,0.03,B
56210.27,13.84,0.01,B
56210.27,14.139999999999999,0.01,I
56210.27,13.99,0.01,R
56210.27,13.829999999999998,0.02,U
56210.27,13.95,0.01,V
56210.3384,14.436,0.04,UVW2
56210.58,13.97,0.01,R
56211.15,14.059999999999999,0.07,I
56211.15,13.93,0.03,V
56211.89,13.870000000000001,0.02,B
56211.89,14.139999999999999,0.02,I
56211.89,13.940000000000001,0.01,R
