MJD,ABmag,emag,band
56242.79,19.3,0.1,UVW2
56242.79,15.59,0.06,V
56242.8,16.0,0.02,B
56242.8,15.479999999999999,0.05,I
56242.8,15.47,0.07,R
56242.8,16.869999999999997,0.05,U
56242.8,15.62,0.05,V
56243.04,16.04,0.04,B
56243.04,15.559999999999999,0.04,I
56243.04,15.450000000000001,0.03,R
56243.04,15.61,0.02,V
56244.04,16.080000000000002,0.02,B
56244.04,15.6,0.04,I
56244.04,15.56,0.02,R
56244.04,15.69,0.02,V
56244.4278,17.082,0.075,U
56244.4285,16.415,0.066,B
56244.4328,15.874,0.07,V
56244.4347,19.055,0.086,UVM2
56244.82,16.21,0.06,B
56244.82,15.67,0.03,I
56244.82,15.56,0.08,R
56244.82,17.07,0.09,U
56244.82,15.709999999999999,0.02,V
56244.92,16.15,0.06,B
56244.92,17.18,0.07,U
56244.92,19.200000000000003,0.1,UVM2
56244.92,18.59,0.16,UVW1
56244.92,19.54,0.1,UVW2
56244.92,15.73,0.06,V
56245.06,16.14,0.08,H
56245.06,15.86,0.07,J
56245.06,16.42,0.06,KS
56246.11,15.58,0.02,R
56246.17,16.2,0.03,B
56246.17,15.67,0.05,I
56246.17,15.63,0.03,R
56246.17,15.719999999999999,0.07,V
56246.9055,18.595000000000002,0.085,UVW1
56246.9066,17.137,0.078,U
56246.9073,16.383,0.067,B
56246.9093,19.888,0.109,UVW2
56246.911,15.980999999999998,0.07400000000000001,V
56246.914,19.25,0.086,UVM2
56247.41,16.32,0.05,B
56247.41,17.31,0.08,U
56247.41,19.39,0.13,UVM2
56247.41,18.770000000000003,0.1,UVW1
56247.41,19.73,0.15,UVW2
56247.41,15.83,0.07,V
56248.0414,18.48,0.083,UVW1
56248.0427,17.029999999999998,0.076,U
56248.0433,16.266,0.066,B
56248.0451,19.753,0.106,UVW2
56248.0469,15.809000000000001,0.071,V
56248.0495,19.343,0.08900000000000001,UVM2
56248.54,16.34,0.06,B
56248.54,17.369999999999997,0.06,U
56248.54,19.490000000000002,0.11,UVM2
56248.54,18.790000000000003,0.1,UVW1
56248.54,19.88,0.12,UVW2
56248.54,15.87,0.07,V
56249.08,16.34,0.03,B
56249.08,15.719999999999999,0.04,I
56249.08,15.690000000000001,0.02,R
56249.08,15.82,0.03,V
56250.0399,18.863,0.1,UVW1
56250.0412,17.340999999999998,0.084,U
56250.0418,16.639,0.073,B
56250.0435,20.049000000000003,0.11699999999999999,UVW2
56250.0454,16.016,0.076,V
56250.0477,19.623,0.099,UVM2
56250.54,16.5,0.07,B
56250.54,17.66,0.09,U
56250.54,19.67,0.12,UVM2
56250.54,18.860000000000003,0.12,UVW1
56250.54,20.16,0.11,UVW2
56250.54,15.98,0.07,V
56252.13,16.67,0.03,B
56252.13,15.899999999999999,0.06,I
56252.13,15.9,0.04,R
56252.13,16.06,0.06,V
56252.16,16.68,0.01,B
56252.16,15.93,0.02,I
56252.16,15.940000000000001,0.04,R
56252.16,17.91,0.02,U
56252.16,16.23,0.06,V
56252.585,19.015,0.098,UVW1
56252.5863,17.66,0.091,U
56252.5869,16.756,0.073,B
56252.5883,20.425,0.135,UVW2
56252.5904,16.118,0.079,V
56252.5923,20.103,0.11599999999999999,UVM2
56253.08,16.73,0.08,B
56253.08,17.939999999999998,0.09,U
56253.08,20.37,0.15,UVM2
56253.08,19.080000000000002,0.11,UVW1
56253.08,20.67,0.17,UVW2
56253.08,16.169999999999998,0.08,V
56254.0843,19.149,0.09,UVW1
56254.0851,17.915999999999997,0.087,U
56254.0855,16.791,0.067,B
56254.0869,20.563,0.12300000000000001,UVW2
56254.088,16.294999999999998,0.07400000000000001,V
56254.09,20.169,0.102,UVM2
56254.58,16.78,0.07,B
56254.58,18.3,0.09,U
56254.58,20.44,0.1,UVM2
56254.58,19.26,0.11,UVW1
56254.58,20.92,0.16,UVW2
56254.58,16.31,0.07,V
56256.14,16.86,0.05,B
56256.14,15.969999999999999,0.05,I
56256.14,16.02,0.04,R
56256.14,16.27,0.04,V
56256.6597,19.455000000000002,0.10300000000000001,UVW1
56256.6613,18.136,0.096,U
56256.6622,16.947,0.071,B
56256.6646,20.754,0.168,UVW2
56256.6954,16.28,0.09300000000000001,V
56256.699,20.361,0.145,UVM2
56257.17,16.95,0.07,B
56257.17,18.43,0.08,U
56257.17,20.75,0.17,UVM2
56257.17,19.580000000000002,0.1,UVW1
56257.17,21.18,0.22,UVW2
56257.17,16.4,0.09,V
56258.5246,19.525000000000002,0.106,UVW1
56258.5263,18.062,0.095,U
56258.5271,17.105,0.075,B
56258.5296,20.957,0.14800000000000002,UVW2
56258.532,16.399,0.078,V
56258.5355,20.573,0.125,UVM2
56259.03,17.1,0.08,B
56259.03,18.45,0.08,U
56259.03,20.950000000000003,0.18,UVM2
56259.03,19.73,0.11,UVW1
56259.03,21.41,0.22,UVW2
56259.03,16.49,0.07,V
56260.3291,19.659000000000002,0.10800000000000001,UVW1
56260.3309,18.154,0.095,U
56260.3318,17.134,0.07400000000000001,B
56260.3346,21.218,0.161,UVW2
56260.3372,16.449,0.077,V
56260.3413,20.429000000000002,0.113,UVM2
56260.83,17.1,0.07,B
56260.83,18.43,0.09,U
56260.83,20.830000000000002,0.13,UVM2
56260.83,19.87,0.11,UVW1
56260.83,21.81,0.26,UVW2
56260.83,16.54,0.07,V
56261.15,16.97,0.04,B
56261.15,16.39,0.03,V
56262.1986,19.964000000000002,0.121,UVW1
56262.2006,18.099999999999998,0.092,U
56262.2015,17.055,0.071,B
56262.2043,21.158,0.155,UVW2
56262.2072,16.358,0.07400000000000001,V
56262.211,20.746,0.13,UVM2
56262.7,17.09,0.07,B
56262.7,18.41,0.08,U
56262.7,21.28,0.17,UVM2
56262.7,20.23,0.13,UVW1
56262.7,21.830000000000002,0.26,UVW2
56262.7,16.49,0.07,V
56264.08,17.13,0.04,B
56264.08,16.07,0.05,I
56264.08,16.14,0.02,R
56264.08,16.419999999999998,0.01,V
56264.602,19.898,0.12300000000000001,UVW1
56264.6038,18.276,0.10300000000000001,U
56264.6047,17.272000000000002,0.078,B
56264.607,21.14,0.16,UVW2
56264.6098,16.578,0.08199999999999999,V
56264.6135,20.69,0.128,UVM2
56264.82,17.05,0.07,B
56264.82,16.15,0.05,I
56264.82,16.07,0.08,R
56264.82,18.25,0.1,U
56264.82,16.5,0.04,V
56265.06,17.22,0.06,B
56265.06,16.11,0.05,I
56265.06,16.27,0.03,R
56265.06,18.45,0.1,U
56265.06,16.56,0.04,V
56265.11,17.28,0.08,B
56265.11,18.61,0.09,U
56265.11,21.25,0.2,UVM2
56265.11,20.19,0.14,UVW1
56265.11,21.830000000000002,0.26,UVW2
56265.11,16.71,0.07,V
56266.02,16.48,0.08,H
56266.02,16.24,0.04,J
56266.02,16.76,0.05,KS
56266.1395,19.982000000000003,0.124,UVW1
56266.1414,18.505999999999997,0.11,U
56266.1423,17.493,0.08199999999999999,B
56266.1449,21.394000000000002,0.177,UVW2
56266.1478,16.672,0.083,V
56266.1513,20.996,0.14800000000000002,UVM2
56266.65,17.59,0.09,B
56266.65,18.8,0.12,U
56266.65,16.74,0.08,V
56268.655,20.362000000000002,0.14800000000000002,UVW1
56268.6568,18.96,0.133,U
56268.6575,18.061,0.10300000000000001,B
56268.6592,21.307000000000002,0.171,UVW2
56268.6619,16.980999999999998,0.095,V
56268.6642,21.187,0.162,UVM2
56269.16,18.07,0.11,B
56269.16,19.38,0.17,U
56269.16,17.06,0.11,V
56270.3451,20.315,0.156,UVW1
56270.3467,19.559,0.225,U
56270.3476,18.026,0.111,B
56270.3501,21.695999999999998,0.217,UVW2
56270.3526,17.270999999999997,0.111,V
56270.356,21.464000000000002,0.2,UVM2
56270.85,18.22,0.14,B
56270.85,19.66,0.24,U
56270.85,17.34,0.13,V
56272.08,18.25,0.04,B
56272.08,16.77,0.09,I
56272.08,16.830000000000002,0.03,R
56272.08,17.32,0.04,V
56272.2532,20.461000000000002,0.16,UVW1
56272.2545,19.581,0.205,U
56272.2551,18.417,0.129,B
56272.2566,21.518,0.19399999999999998,UVW2
56272.2585,17.415,0.11900000000000001,V
56272.2607,21.219,0.16699999999999998,UVM2
56272.76,18.43,0.14,B
56272.76,19.759999999999998,0.21,U
56272.76,17.48,0.14,V
56273.05,16.93,0.05,R
56274.5527,20.720000000000002,0.19,UVW1
56274.554,19.822,0.267,U
56274.5547,19.11,0.217,B
56274.5569,21.929000000000002,0.24100000000000002,UVW2
56274.5588,17.944,0.157,V
56274.5621,21.488,0.191,UVM2
56274.62,18.77,0.33,B
56274.62,19.849999999999998,0.42,U
56274.62,18.08,0.3,V
56275.07,18.94,0.06,B
56275.07,17.39,0.07,I
56275.07,17.43,0.04,R
56275.07,18.02,0.05,V
56276.2226,20.794000000000004,0.196,UVW1
56276.2255,19.242,0.231,B
56276.2282,21.797,0.223,UVW2
56276.2312,18.139,0.18100000000000002,V
56276.2351,21.747000000000003,0.226,UVM2
56276.73,19.21,0.22,B
56276.73,18.55,0.21,V
56278.05,19.07,0.1,B
56278.05,17.689999999999998,0.11,I
56278.05,17.67,0.11,R
56278.05,18.37,0.14,V
56278.3936,20.971,0.33,UVW1
56278.3951,19.677,0.34,U
56278.4005,18.134,0.27399999999999997,V
56278.4033,21.296,0.276,UVM2
56280.3003,21.293000000000003,0.258,UVW1
56280.3027,20.227999999999998,0.265,U
56280.3043,19.269000000000002,0.184,B
56280.3082,21.990000000000002,0.226,UVW2
56280.3122,18.320999999999998,0.16899999999999998,V
56280.3152,21.798000000000002,0.27899999999999997,UVM2
56282.09,19.13,0.09,B
56282.09,17.599999999999998,0.1,I
56282.09,17.630000000000003,0.05,R
56282.09,20.24,0.1,U
56282.09,18.29,0.06,V
56282.1411,21.322000000000003,0.297,UVW1
56282.1423,20.081,0.27699999999999997,U
56282.1432,18.937,0.172,B
56282.146,22.388,0.33299999999999996,UVW2
56282.1476,18.296,0.196,V
56282.1497,21.18,0.235,UVM2
56283.08,18.01,0.08,H
56283.08,17.79,0.11,J
56283.08,18.14,0.09,KS
56284.2382,21.041,0.217,UVW1
56284.239,20.468,0.32299999999999995,U
56284.2396,19.043,0.16399999999999998,B
56284.2411,22.319000000000003,0.289,UVW2
56284.2425,18.622999999999998,0.222,V
56284.2434,21.823,0.295,UVM2
56286.0747,21.335,0.295,UVW1
56286.0762,19.57,0.33,B
56286.0802,21.502000000000002,0.201,UVM2
56288.9112,21.444000000000003,0.344,UVW1
56288.919,18.435,0.261,V
56288.9223,21.811,0.25,UVM2
56290.07,18.57,0.11,V
56290.2531,21.302000000000003,0.285,UVW1
56290.255,20.017999999999997,0.305,U
56290.2559,19.449,0.293,B
56292.4537,21.575000000000003,0.363,UVW1
56292.4565,19.367,0.3,B
56292.4618,18.632,0.313,V
56292.4655,22.05,0.276,UVM2
56294.4619,21.145000000000003,0.19399999999999998,UVW1
56294.4638,20.485999999999997,0.33799999999999997,U
56294.4646,19.667,0.273,B
56294.4668,22.375,0.26,UVW2
56294.4697,18.817999999999998,0.266,V
56294.4724,21.860000000000003,0.19699999999999998,UVM2
56330.16,14.88,0.07,H
56385.4,18.45,0.06,R
56385.4,19.25,0.06,V
56386.38,19.27,0.05,V
56388.41,19.86,0.1,B
56390.4,19.31,0.08,I
56390.4,18.53,0.07,R
56390.4,19.28,0.1,V
56394.39,19.21,0.1,I
56394.39,18.630000000000003,0.08,R
56394.39,19.45,0.07,V
56395.37,19.27,0.06,V
56396.37,19.36,0.07,V
56397.9,19.25,0.09,I
56397.9,18.5,0.06,R
56397.9,19.36,0.11,V
56402.37,19.4,0.05,V
56411.85,18.68,0.05,R
56415.37,18.67,0.12,R
56418.33,18.630000000000003,0.06,R
56432.34,18.76,0.06,R
56435.4,18.8,0.05,R
56437.78,20.39,0.09,B
56437.78,19.41,0.08,I
56437.78,18.740000000000002,0.05,R
56437.78,19.91,0.06,V
56440.79,18.82,0.07,R
56440.79,19.95,0.11,V
56446.69,20.46,0.05,B
56446.69,19.57,0.08,I
56446.69,18.830000000000002,0.04,R
56446.69,20.04,0.07,V
56447.34,18.880000000000003,0.03,R
56457.35,18.98,0.05,R
56461.82,20.25,0.05,B
56461.82,19.669999999999998,0.04,I
56461.82,18.91,0.04,R
56461.82,20.099999999999998,0.05,V
56473.4,19.03,0.03,R
56485.81,20.64,0.04,B
56485.81,19.79,0.08,I
56485.81,18.970000000000002,0.04,R
56485.81,20.19,0.07,V
56496.33,19.060000000000002,0.05,R
56499.11,20.74,0.23,B
56499.11,20.04,0.1,V
56500.7,20.580000000000002,0.07,B
56500.7,19.03,0.04,R
56500.7,20.14,0.06,V
56501.34,20.59,0.08,B
56501.34,19.72,0.05,I
56501.34,19.18,0.06,R
56501.34,20.08,0.05,V
56503.7,20.82,0.11,B
56503.7,20.029999999999998,0.13,I
56503.7,19.1,0.06,R
56503.7,20.38,0.1,V
56509.2,20.62,0.06,B
56509.2,19.9,0.06,I
56509.2,19.220000000000002,0.06,R
56509.2,20.099999999999998,0.05,V
56509.79,20.61,0.05,B
56509.79,19.89,0.1,I
56509.79,19.03,0.04,R
56509.79,20.16,0.08,V
56512.02,20.580000000000002,0.09,B
56512.02,20.04,0.09,V
56515.62,20.69,0.08,B
56515.62,19.11,0.04,R
56515.62,20.29,0.07,V
56516.15,19.14,0.12,R
56519.13,20.73,0.04,B
56519.13,19.97,0.05,I
56519.13,19.240000000000002,0.07,R
56519.13,20.22,0.05,V
56520.07,20.79,0.12,B
56520.07,20.08,0.05,V
56521.59,20.79,0.09,B
56521.59,20.04,0.1,I
56521.59,19.17,0.03,R
56521.59,20.41,0.05,V
56530.63,19.2,0.12,R
56530.63,20.22,0.19,V
56531.1,20.79,0.06,B
56531.1,20.06,0.09,I
56531.1,19.35,0.06,R
56531.1,20.29,0.06,V
56533.62,19.220000000000002,0.08,R
56534.01,20.87,0.12,B
56534.01,20.11,0.07,V
56544.04,20.19,0.07,V
56547.2,20.66,0.05,B
56547.2,20.11,0.08,I
56547.2,19.330000000000002,0.05,R
56547.2,20.16,0.04,V
56553.95,20.259999999999998,0.23,V
56561.95,20.68,0.08,B
56561.95,20.28,0.07,V
56569.05,20.9,0.06,B
56569.05,20.22,0.07,I
56569.05,19.44,0.04,R
56569.05,20.41,0.1,V
56581.18,20.77,0.13,B
56581.18,20.27,0.08,I
56581.18,19.51,0.06,R
56581.18,20.48,0.15,V
56590.14,20.98,0.1,B
56590.14,20.41,0.24,I
56590.14,19.55,0.08,R
56590.14,20.54,0.11,V
56601.83,20.43,0.32,V
56619.87,21.15,0.09,B
56619.87,20.53,0.07,V
56622.82,21.16,0.13,B
56622.82,20.52,0.07,V
56627.05,21.1,0.06,B
56627.05,20.43,0.09,I
56627.05,19.64,0.04,R
56627.05,20.69,0.05,V
56650.05,21.16,0.07,B
56650.05,20.58,0.05,I
56650.05,19.66,0.05,R
56650.05,20.73,0.04,V
56768.32,20.849999999999998,0.27,I
56768.32,20.01,0.07,R
56768.32,21.07,0.05,V
56770.36,21.53,0.1,B
56771.4,21.099999999999998,0.1,I
56771.4,20.05,0.05,R
56771.4,21.19,0.06,V
56776.38,20.97,0.21,I
56776.38,20.01,0.11,R
56776.38,21.05,0.18,V
56782.37,21.52,0.61,B
56782.37,21.279999999999998,0.29,I
56782.37,20.11,0.08,R
56782.37,21.12,0.09,V
56885.12,21.830000000000002,0.08,B
56885.12,21.34,0.08,I
56885.12,20.42,0.04,R
56885.12,21.47,0.05,V
56916.2,20.11,0.08,R
56924.02,21.7,0.13,B
56924.02,20.48,0.06,R
56924.02,21.47,0.05,V
56929.21,21.85,0.1,B
56929.21,20.490000000000002,0.05,R
56929.21,21.56,0.07,V
56975.06,21.9,0.09,B
56975.06,21.66,0.08,I
56975.06,20.650000000000002,0.06,R
56975.06,21.63,0.09,V
57014.06,21.91,0.07,B
57014.06,21.9,0.31,I
57014.06,20.76,0.07,R
57014.06,21.75,0.07,V
